"Story","Title","Result","Date","Stability","Duration (s)"
"Language test","Change language test french","SUCCESS","2021-11-07T18:22:48.4348138+02:00[Europe/Bucharest]","0.0","9.21"
"Language test","Change language test german","SUCCESS","2021-11-07T18:22:58.3065352+02:00[Europe/Bucharest]","0.0","4.58"
"Language test","Language list size test","SUCCESS","2021-11-07T18:23:11.6755623+02:00[Europe/Bucharest]","0.0","2.86"
"Language test","Content language test english","SUCCESS","2021-11-07T18:23:14.5892869+02:00[Europe/Bucharest]","0.0","2.99"
"Language test","Change language test english","SUCCESS","2021-11-07T18:23:17.6440882+02:00[Europe/Bucharest]","0.0","3.15"
"Search product test","Search for pants","SUCCESS","2021-11-07T18:21:36.7141499+02:00[Europe/Bucharest]","0.0","11.49"
"Search product test","Check next on search","SUCCESS","2021-11-07T18:21:48.8959219+02:00[Europe/Bucharest]","0.0","9.56"
"Search product test","Check navigation arrows on first page","SUCCESS","2021-11-07T18:21:58.5153617+02:00[Europe/Bucharest]","0.0","8.92"
"Search product test","Search for n pants","SUCCESS","2021-11-07T18:22:07.5012782+02:00[Europe/Bucharest]","0.0","4.89"
"Search product test","Search for skirts","SUCCESS","2021-11-07T18:22:12.4391261+02:00[Europe/Bucharest]","0.0","4.7"
"Search product test","Scroll search results","SUCCESS","2021-11-07T18:22:17.1997796+02:00[Europe/Bucharest]","0.0","4.6"
"Search product test","Check previous on search","SUCCESS","2021-11-07T18:22:21.8836096+02:00[Europe/Bucharest]","0.0","11.27"
"Sort test","Change view mode different","SUCCESS","2021-11-07T18:23:36.194625+02:00[Europe/Bucharest]","0.0","10.36"
"Sort test","Change sorting by price","SUCCESS","2021-11-07T18:23:47.2169823+02:00[Europe/Bucharest]","0.0","6.15"
"Sort test","Change sorting by position","SUCCESS","2021-11-07T18:23:53.4352174+02:00[Europe/Bucharest]","0.0","4.3"
"Sort test","Change sorting direction price","SUCCESS","2021-11-07T18:23:57.7960587+02:00[Europe/Bucharest]","0.0","7.44"
"Sort test","Get all sorting options","SUCCESS","2021-11-07T18:24:05.2928052+02:00[Europe/Bucharest]","0.0","3.02"
"Sort test","Change sorting by name","SUCCESS","2021-11-07T18:24:08.3776882+02:00[Europe/Bucharest]","0.0","5.42"
"Sort test","Change sorting direction name","SUCCESS","2021-11-07T18:24:13.8492498+02:00[Europe/Bucharest]","0.0","7.48"
"Sort test","Change view mode same grid","SUCCESS","2021-11-07T18:24:26.9382811+02:00[Europe/Bucharest]","0.0","3.08"
"Sort test","Change view mode same list","SUCCESS","2021-11-07T18:24:30.0704533+02:00[Europe/Bucharest]","0.0","5.4"
