"Story","Title","Result","Date","Stability","Duration (s)"
"Landing page validation test","Global header test","SUCCESS","2020-10-12T09:28:55.5094007+03:00[Europe/Bucharest]","0.0","10.18"
"Landing page validation test","Global navigation test","SUCCESS","2020-10-12T09:29:06.4143976+03:00[Europe/Bucharest]","0.0","4.29"
"Search product by name","Change language test","SUCCESS","2021-10-21T13:13:33.1671127+03:00[Europe/Bucharest]","0.0","9.9"
"Search test","Add to cart searched product a","SUCCESS","2021-10-21T14:55:18.5558502+03:00[Europe/Bucharest]","0.0","8.5"
"Sort test","Add to cart searched product dress","SUCCESS","2021-10-21T15:19:46.0191394+03:00[Europe/Bucharest]","0.0","8.27"
"Sort test","Change view option on page","SUCCESS","2021-10-21T15:34:46.2719889+03:00[Europe/Bucharest]","0.0","9.95"
"Search test","Check pagination search","SUCCESS","2021-10-21T16:15:44.9281198+03:00[Europe/Bucharest]","0.0","13.08"
"Search test","Check pagination on search","SUCCESS","2021-10-21T16:19:16.8454813+03:00[Europe/Bucharest]","0.0","15.04"
"Search test","Check","SUCCESS","2021-10-21T16:40:17.3528495+03:00[Europe/Bucharest]","0.0","10.79"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2021-10-25T09:49:02.1965875+03:00[Europe/Athens]","0.0","5.45"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2021-10-25T09:49:08.177379+03:00[Europe/Athens]","0.0","3.29"
"RN test","Add to cart searched product dress","SUCCESS","2021-10-25T12:20:55.0004135+03:00[Europe/Athens]","0.0","17.31"
"RN test","Get page title","SUCCESS","2021-10-25T12:32:17.6451015+03:00[Europe/Athens]","0.0","20.27"
"RN test","Searching by keyword banana should display the corresponding article","SUCCESS","2021-10-25T13:10:27.6229848+03:00[Europe/Athens]","0.0","5.95"
"RN test","Search for pants","SUCCESS","2021-10-25T15:09:53.2373712+03:00[Europe/Athens]","0.0","7.09"
"Change language test","Language list size test","SUCCESS","2021-10-25T16:29:29.1876402+03:00[Europe/Athens]","0.0","4.98"
"Change language test","Change language test","SUCCESS","2021-10-25T16:29:34.5689364+03:00[Europe/Athens]","0.0","3.44"
"Search test","Check next on search","SUCCESS","2021-10-25T16:29:54.5397853+03:00[Europe/Athens]","0.0","11.74"
"Search test","Scroll search results","SUCCESS","2021-10-25T16:30:06.3294134+03:00[Europe/Athens]","0.0","3.75"
"Search test","Add to cart searched product dress","SUCCESS","2021-10-25T16:30:10.1265428+03:00[Europe/Athens]","0.0","3.81"
"Search test","Add to cart searched product pants","SUCCESS","2021-10-25T16:30:13.9881216+03:00[Europe/Athens]","0.0","4.08"
"Search test","Add to cart searched product shirt","SUCCESS","2021-10-25T16:30:18.1189795+03:00[Europe/Athens]","0.0","3.78"
"Sort test","Change view mode on page","SUCCESS","2021-10-25T17:35:45.9790421+03:00[Europe/Bucharest]","0.0","9.12"
"Search product test","Check previous not visible on first page","SUCCESS","2021-11-05T23:10:26.3628668+02:00[Europe/Bucharest]","0.0","14.1"
"Search product test","Search for pants","SUCCESS","2021-11-05T23:22:49.6036129+02:00[Europe/Bucharest]","0.0","10.58"
"Search product test","Check next on search","SUCCESS","2021-11-05T23:23:00.8785906+02:00[Europe/Bucharest]","0.0","8.75"
"Search product test","Check navigation arrows on first page","SUCCESS","2021-11-05T23:23:09.6869205+02:00[Europe/Bucharest]","0.0","8.58"
"Search product test","Search for n pants","SUCCESS","2021-11-05T23:23:18.3297763+02:00[Europe/Bucharest]","0.0","4.57"
"Search product test","Search for skirts","SUCCESS","2021-11-05T23:23:22.9601026+02:00[Europe/Bucharest]","0.0","4.52"
"Search product test","Scroll search results","SUCCESS","2021-11-05T23:23:27.534013+02:00[Europe/Bucharest]","0.0","3.97"
"Search product test","Check previous on search","SUCCESS","2021-11-05T23:23:31.5731265+02:00[Europe/Bucharest]","0.0","10.38"
