"Story","Title","Result","Date","Stability","Duration (s)"
"Sort test","Change sorting by","SUCCESS","2021-11-05T22:16:34.3570482+02:00[Europe/Bucharest]","0.0","12.02"
"Sort test","Change sorting option on page","SUCCESS","2021-11-05T22:32:09.5421479+02:00[Europe/Bucharest]","0.0","11.84"
"Sort test","Change view mode on page","SUCCESS","2021-11-05T22:49:36.692575+02:00[Europe/Bucharest]","0.0","8.6"
"Sort test","Change view mode different","SUCCESS","2021-11-05T23:37:39.4437497+02:00[Europe/Bucharest]","0.0","8.73"
"Sort test","Change sorting by price","SUCCESS","2021-11-05T23:37:48.767395+02:00[Europe/Bucharest]","0.0","4.96"
"Sort test","Change sorting by position","SUCCESS","2021-11-05T23:37:53.7831611+02:00[Europe/Bucharest]","0.0","3.35"
"Sort test","Change sorting direction price","SUCCESS","2021-11-05T23:37:57.1767253+02:00[Europe/Bucharest]","0.0","6.73"
"Sort test","Get all sorting options","SUCCESS","2021-11-05T23:38:03.9909764+02:00[Europe/Bucharest]","0.0","2.83"
"Sort test","Change sorting by name","SUCCESS","2021-11-05T23:38:06.8713063+02:00[Europe/Bucharest]","0.0","4.77"
"Sort test","Change sorting direction name","SUCCESS","2021-11-05T23:38:11.6888717+02:00[Europe/Bucharest]","0.0","6.98"
"Sort test","Change view mode same grid","SUCCESS","2021-11-05T23:38:23.9756431+02:00[Europe/Bucharest]","0.0","3.28"
"Sort test","Change view mode same list","SUCCESS","2021-11-05T23:38:27.3093983+02:00[Europe/Bucharest]","0.0","4.63"
