"Story","Title","Result","Date","Stability","Duration (s)"
"Search product test","Search for pants","SUCCESS","2021-10-25T16:19:01.6186534+03:00[Europe/Athens]","0.0","16.33"
"Search product test","Search for n pants","SUCCESS","2021-10-25T16:19:18.4008686+03:00[Europe/Athens]","0.0","14.94"
"Search product test","Search for skirts","SUCCESS","2021-10-25T16:19:33.3937878+03:00[Europe/Athens]","0.0","9.12"
"Change language test","Change language test","SUCCESS","2021-10-25T17:59:39.6324094+03:00[Europe/Bucharest]","0.0","4.23"
"Change language test","Change language test french","SUCCESS","2021-11-05T20:42:52.900875+02:00[Europe/Bucharest]","0.0","18.85"
"Change language test","Language list size test","SUCCESS","2021-11-05T20:43:16.998908+02:00[Europe/Bucharest]","0.0","3.36"
"Change language test","Change language test german","SUCCESS","2021-11-05T20:47:02.5004746+02:00[Europe/Bucharest]","0.0","9.56"
"Change language test","Content language test german","FAILURE","2021-11-05T20:57:59.6859617+02:00[Europe/Bucharest]","0.0","9.41"
"Language test","Change language test french","SUCCESS","2021-11-05T23:21:46.2519478+02:00[Europe/Bucharest]","0.0","11.77"
"Language test","Change language test german","SUCCESS","2021-11-05T23:21:59.363514+02:00[Europe/Bucharest]","0.0","6.82"
"Language test","Content language test french","FAILURE","2021-11-05T23:22:06.5885134+02:00[Europe/Bucharest]","0.0","6.65"
"Language test","Content language test german","FAILURE","2021-11-05T23:22:13.5708145+02:00[Europe/Bucharest]","0.0","4.53"
"Language test","Language list size test","SUCCESS","2021-11-05T23:22:18.1763267+02:00[Europe/Bucharest]","0.0","2.69"
"Language test","Content language test english","SUCCESS","2021-11-05T23:22:20.9157594+02:00[Europe/Bucharest]","0.0","2.9"
"Language test","Change language test english","SUCCESS","2021-11-05T23:22:23.8727842+02:00[Europe/Bucharest]","0.0","3.14"
"Landing page validation test","Global header test","SUCCESS","2020-10-12T09:28:55.5094007+03:00[Europe/Bucharest]","0.0","10.18"
"Landing page validation test","Global navigation test","SUCCESS","2020-10-12T09:29:06.4143976+03:00[Europe/Bucharest]","0.0","4.29"
"Search product by name","Add to cart searched product dress","FAILURE","2021-10-21T11:09:07.4228609+03:00[Europe/Bucharest]","0.0","18.71"
"Search product by name","Change language test","SUCCESS","2021-10-21T13:13:33.1671127+03:00[Europe/Bucharest]","0.0","9.9"
"Menu test","Change menu test","ERROR","2021-10-21T13:39:11.0898595+03:00[Europe/Bucharest]","0.0","8.2"
"Wish list test","Choose random product for wish list","ERROR","2021-10-21T13:54:27.2938038+03:00[Europe/Bucharest]","0.0","16.21"
"Shopping cart test","Add to cart searched product","FAILURE","2021-10-21T14:15:57.1046768+03:00[Europe/Bucharest]","0.0","20.44"
"Shopping cart test","Remove product from cart","FAILURE","2021-10-21T14:16:18.2993461+03:00[Europe/Bucharest]","0.0","14.57"
"Search test","Add to cart searched product a","SUCCESS","2021-10-21T14:55:18.5558502+03:00[Europe/Bucharest]","0.0","8.5"
"Sort test","Add to cart searched product dress","SUCCESS","2021-10-21T15:19:46.0191394+03:00[Europe/Bucharest]","0.0","8.27"
"Sort test","Change view option on page","SUCCESS","2021-10-21T15:34:46.2719889+03:00[Europe/Bucharest]","0.0","9.95"
"Sort test","Change page on page","ERROR","2021-10-21T15:47:02.0021059+03:00[Europe/Bucharest]","0.0","10.48"
"Search test","Check pagination search","SUCCESS","2021-10-21T16:15:44.9281198+03:00[Europe/Bucharest]","0.0","13.08"
"Search test","Check pagination on search","SUCCESS","2021-10-21T16:19:16.8454813+03:00[Europe/Bucharest]","0.0","15.04"
"Search test","Check","SUCCESS","2021-10-21T16:40:17.3528495+03:00[Europe/Bucharest]","0.0","10.79"
"Sort test","Initialisation","ERROR","2021-10-25T09:36:18.8367794+03:00[Europe/Athens]","0.0","0.0"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2021-10-25T09:49:02.1965875+03:00[Europe/Athens]","0.0","5.45"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-10-25T09:49:07.962777+03:00[Europe/Athens]","0.0","0.11"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2021-10-25T09:49:08.177379+03:00[Europe/Athens]","0.0","3.29"
"Menu test","Check","ERROR","2021-10-25T11:06:58.9451625+03:00[Europe/Athens]","0.0","45.01"
"RN test","Add to cart searched product dress","SUCCESS","2021-10-25T12:20:55.0004135+03:00[Europe/Athens]","0.0","17.31"
"RN test","Get page title","SUCCESS","2021-10-25T12:32:17.6451015+03:00[Europe/Athens]","0.0","20.27"
"RN test","Searching by keyword banana should display the corresponding article","SUCCESS","2021-10-25T13:10:27.6229848+03:00[Europe/Athens]","0.0","5.95"
"RN test","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-10-25T13:10:33.9183816+03:00[Europe/Athens]","0.0","0.13"
"RN test","Searching by keyword apple should display the corresponding article","ERROR","2021-10-25T13:10:34.1461077+03:00[Europe/Athens]","0.0","2.61"
"RN test","Search for pants","SUCCESS","2021-10-25T15:09:53.2373712+03:00[Europe/Athens]","0.0","7.09"
"RN test","Search for skirts","FAILURE","2021-10-25T15:10:00.7519733+03:00[Europe/Athens]","0.0","4.01"
"Change language test","Language list size test","SUCCESS","2021-10-25T16:29:29.1876402+03:00[Europe/Athens]","0.0","4.98"
"Change language test","Change language test","SUCCESS","2021-10-25T16:29:34.5689364+03:00[Europe/Athens]","0.0","3.44"
"Search test","Check next on search","SUCCESS","2021-10-25T16:29:54.5397853+03:00[Europe/Athens]","0.0","11.74"
"Search test","Scroll search results","SUCCESS","2021-10-25T16:30:06.3294134+03:00[Europe/Athens]","0.0","3.75"
"Search test","Add to cart searched product dress","SUCCESS","2021-10-25T16:30:10.1265428+03:00[Europe/Athens]","0.0","3.81"
"Search test","Add to cart searched product pants","SUCCESS","2021-10-25T16:30:13.9881216+03:00[Europe/Athens]","0.0","4.08"
"Search test","Add to cart searched product shirt","SUCCESS","2021-10-25T16:30:18.1189795+03:00[Europe/Athens]","0.0","3.78"
"Sort test","Change sorting option on page","FAILURE","2021-10-25T17:31:06.270717+03:00[Europe/Bucharest]","0.0","10.86"
"Sort test","Change view mode on page","SUCCESS","2021-10-25T17:35:45.9790421+03:00[Europe/Bucharest]","0.0","9.12"
"Search product test","Check previous not visible on first page","SUCCESS","2021-11-05T23:10:26.3628668+02:00[Europe/Bucharest]","0.0","14.1"
"Search product test","Search for pants","SUCCESS","2021-11-05T23:22:49.6036129+02:00[Europe/Bucharest]","0.0","10.58"
"Search product test","Check next on search","SUCCESS","2021-11-05T23:23:00.8785906+02:00[Europe/Bucharest]","0.0","8.75"
"Search product test","Check navigation arrows on first page","SUCCESS","2021-11-05T23:23:09.6869205+02:00[Europe/Bucharest]","0.0","8.58"
"Search product test","Search for n pants","SUCCESS","2021-11-05T23:23:18.3297763+02:00[Europe/Bucharest]","0.0","4.57"
"Search product test","Search for skirts","SUCCESS","2021-11-05T23:23:22.9601026+02:00[Europe/Bucharest]","0.0","4.52"
"Search product test","Scroll search results","SUCCESS","2021-11-05T23:23:27.534013+02:00[Europe/Bucharest]","0.0","3.97"
"Search product test","Check previous on search","SUCCESS","2021-11-05T23:23:31.5731265+02:00[Europe/Bucharest]","0.0","10.38"
"Sort test","Change sorting by","SUCCESS","2021-11-05T22:16:34.3570482+02:00[Europe/Bucharest]","0.0","12.02"
"Sort test","Change sorting option on page","SUCCESS","2021-11-05T22:32:09.5421479+02:00[Europe/Bucharest]","0.0","11.84"
"Sort test","Change view mode on page","SUCCESS","2021-11-05T22:49:36.692575+02:00[Europe/Bucharest]","0.0","8.6"
"Sort test","Change view mode different","SUCCESS","2021-11-05T23:37:39.4437497+02:00[Europe/Bucharest]","0.0","8.73"
"Sort test","Change sorting by price","SUCCESS","2021-11-05T23:37:48.767395+02:00[Europe/Bucharest]","0.0","4.96"
"Sort test","Change sorting by position","SUCCESS","2021-11-05T23:37:53.7831611+02:00[Europe/Bucharest]","0.0","3.35"
"Sort test","Change sorting direction price","SUCCESS","2021-11-05T23:37:57.1767253+02:00[Europe/Bucharest]","0.0","6.73"
"Sort test","Get all sorting options","SUCCESS","2021-11-05T23:38:03.9909764+02:00[Europe/Bucharest]","0.0","2.83"
"Sort test","Change sorting by name","SUCCESS","2021-11-05T23:38:06.8713063+02:00[Europe/Bucharest]","0.0","4.77"
"Sort test","Change sorting direction name","SUCCESS","2021-11-05T23:38:11.6888717+02:00[Europe/Bucharest]","0.0","6.98"
"Sort test","Change sorting direction position","FAILURE","2021-11-05T23:38:18.728132+02:00[Europe/Bucharest]","0.0","5.01"
"Sort test","Change view mode same grid","SUCCESS","2021-11-05T23:38:23.9756431+02:00[Europe/Bucharest]","0.0","3.28"
"Sort test","Change view mode same list","SUCCESS","2021-11-05T23:38:27.3093983+02:00[Europe/Bucharest]","0.0","4.63"
